Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
So., 01.Jan. 2012 00:15;0,17;0,52;0,34;0,24
So., 01.Jan. 2012 00:30;0,22;0,51;0,36;0,26
So., 01.Jan. 2012 00:45;0,2;0,5;0,35;0,25
So., 01.Jan. 2012 01:00;0,21;0,53;0,37;0,26
So., 01.Jan. 2012 01:15;0,17;0,54;0,36;0,25
So., 01.Jan. 2012 01:30;0,18;0,52;0,36;0,25
So., 01.Jan. 2012 01:45;0,18;0,54;0,36;0,25
So., 01.Jan. 2012 02:00;0,22;0,51;0,37;0,26
So., 01.Jan. 2012 02:15;0,21;0,53;0,37;0,26
So., 01.Jan. 2012 02:30;0,18;0,51;0,35;0,24
So., 01.Jan. 2012 02:45;0,17;0,48;0,33;0,23
So., 01.Jan. 2012 03:00;0,19;0,47;0,33;0,24
So., 01.Jan. 2012 03:15;0,2;0,55;0,37;0,27
So., 01.Jan. 2012 03:30;0,17;0,55;0,36;0,25
So., 01.Jan. 2012 03:45;0,22;0,53;0,37;0,27
So., 01.Jan. 2012 04:00;0,17;0,51;0,34;0,24
So., 01.Jan. 2012 04:15;0,18;0,57;0,4;0,26
So., 01.Jan. 2012 04:30;0,23;0,52;0,4;0,27
So., 01.Jan. 2012 04:45;0,18;0,52;0,35;0,25
So., 01.Jan. 2012 05:00;0,22;0,54;0,4;0,27
So., 01.Jan. 2012 05:15;0,2;0,53;0,37;0,26
So., 01.Jan. 2012 05:30;0,17;0,53;0,35;0,24
So., 01.Jan. 2012 05:45;0,2;0,5;0,36;0,25
So., 01.Jan. 2012 06:00;0,18;0,51;0,35;0,24
So., 01.Jan. 2012 06:15;0,24;0,56;0,42;0,29
So., 01.Jan. 2012 06:30;0,28;0,54;0,43;0,3
So., 01.Jan. 2012 06:45;0,24;0,55;0,4;0,29
So., 01.Jan. 2012 07:00;0,26;0,63;0,45;0,32
So., 01.Jan. 2012 07:15;0,25;0,59;0,43;0,3
So., 01.Jan. 2012 07:30;0,33;0,73;0,55;0,38
So., 01.Jan. 2012 07:45;0,73;0,96;0,88;0,65
So., 01.Jan. 2012 08:00;1,03;1,02;1,06;0,82
So., 01.Jan. 2012 08:15;1,11;1,14;1,13;0,9
So., 01.Jan. 2012 08:30;0,89;1,29;1,13;0,83
So., 01.Jan. 2012 08:45;1,02;1,69;1,45;1,02
So., 01.Jan. 2012 09:00;1,05;1,68;1,43;1,03
So., 01.Jan. 2012 09:15;1,09;1,84;1,46;1,1
So., 01.Jan. 2012 09:30;1,45;1,89;1,74;1,29
So., 01.Jan. 2012 09:45;1,33;1,87;1,65;1,23
So., 01.Jan. 2012 10:00;1,21;2;1,72;1,21
So., 01.Jan. 2012 10:15;1,29;1,88;1,64;1,21
So., 01.Jan. 2012 10:30;1,23;1,91;1,58;1,19
So., 01.Jan. 2012 10:45;1,25;1,74;1,57;1,15
