Zeitstempel;"Verbrauch Gebaeude 1 Etage 0 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 0 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 1 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 1 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2  Strom
Verbrauchswert (Wh)";"Verbrauch Gebaeude 1 Etage 2  Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
 Werttyp";
Do., 17.Apr. 2014 00:15;0,15;;0,47;;2660;;2,53;;
Do., 17.Apr. 2014 00:30;0,2;;0,46;;2640;;2,54;;
Do., 17.Apr. 2014 00:45;0,18;;0,45;;2620;;2,54;;
Do., 17.Apr. 2014 01:00;0,19;;0,48;;2610;;2,54;;
Do., 17.Apr. 2014 01:15;0,15;;0,49;;2610;;2,57;;
Do., 17.Apr. 2014 01:30;0,16;;0,47;;2640;;2,54;;
Do., 17.Apr. 2014 01:45;0,16;;0,49;;2620;;2,54;;
Do., 17.Apr. 2014 02:00;0,2;;0,46;;2630;;2,54;;
Do., 17.Apr. 2014 02:15;0,19;;0,48;;2650;;2,53;;
Do., 17.Apr. 2014 02:30;0,16;;0,46;;2650;;2,54;;
Do., 17.Apr. 2014 02:45;0,15;;0,44;;2630;;2,57;;
Do., 17.Apr. 2014 03:00;0,17;;0,43;;2620;;2,55;;
Do., 17.Apr. 2014 03:15;0,18;;0,5;;2620;;2,53;;
Do., 17.Apr. 2014 03:30;0,15;;0,5;;2630;;2,54;;
Do., 17.Apr. 2014 03:45;0,2;;0,48;;2600;;2,54;;
Do., 17.Apr. 2014 04:00;0,15;;0,46;;2650;;2,56;;
Do., 17.Apr. 2014 04:15;0,16;;0,52;;2650;;2,53;;
Do., 17.Apr. 2014 04:30;0,21;;0,47;;2690;;2,53;;
Do., 17.Apr. 2014 04:45;0,16;;0,47;;2630;;2,54;;
Do., 17.Apr. 2014 05:00;0,2;;0,49;;2620;;2,55;;
Do., 17.Apr. 2014 05:15;0,18;;0,48;;2610;;2,54;;
Do., 17.Apr. 2014 05:30;0,15;;0,48;;2620;;2,53;;
Do., 17.Apr. 2014 05:45;0,18;;0,45;;2730;;2,53;;
Do., 17.Apr. 2014 06:00;0,16;;0,46;;2620;;2,55;;
Do., 17.Apr. 2014 06:15;0,22;;0,51;;2620;;2,54;;
Do., 17.Apr. 2014 06:30;0,25;;0,49;;2660;;2,56;;
Do., 17.Apr. 2014 06:45;0,22;;0,5;;2610;;2,54;;
Do., 17.Apr. 2014 07:00;0,24;;0,57;;2630;;2,57;;
Do., 17.Apr. 2014 07:15;0,23;;0,54;;2620;;2,66;;
Do., 17.Apr. 2014 07:30;0,3;;0,66;;2760;;2,72;;
Do., 17.Apr. 2014 07:45;0,66;;0,87;;2660;;2,76;;
Do., 17.Apr. 2014 08:00;0,94;;0,93;;2640;;2,78;;
Do., 17.Apr. 2014 08:15;1,01;;1,04;;2720;;2,75;;
Do., 17.Apr. 2014 08:30;0,81;;1,17;;2770;;2,81;;
